/vin X,/vin Y,/vout X,/vout Y
0,0.9999995722407901,0,4.112812366412523e-07
5.339141179968857e-13,1.009989677530614,5.339141179968857e-13,0.0008358459942236962
9.773546762540429e-13,1.019146386332576,9.773546762540429e-13,0.001537845868411905
1.864235792768357e-12,1.037494282994639,1.864235792768357e-12,0.002817310444950071
2.544207992057132e-12,1.051130276496679,2.544207992057132e-12,0.003624375680678046
3.904152390634681e-12,1.077057022059971,3.904152390634681e-12,0.004942538075020868
5.099414378150131e-12,1.098325654318193,5.099414378150131e-12,0.005826712868106287
7.261924911503448e-12,1.124558697785976,7.261924911503448e-12,0.006313628735217067
8.630962455751724e-12,1.12653386476267,8.630962455751724e-12,0.00551761367840173
1e-11,1.108844372240034,1e-11,0.003438284200771522
1.035742128940952e-11,1.09631667589018,1.035742128940952e-11,0.002346253487626162
1.09299266335142e-11,1.075192978401161,1.09299266335142e-11,0.0005883928746620512
1.155369835618878e-11,1.051662161851136,1.155369835618878e-11,-0.00117852376022453
1.233093607054914e-11,1.022568728927578,1.233093607054914e-11,-0.003169129650472395
1.301330827000499e-11,0.9968940719058704,1.301330827000499e-11,-0.004808684737240019
1.419440480006058e-11,0.9525326036704801,1.419440480006058e-11,-0.0074241126462658
1.601849623893246e-11,0.8840035197094906,1.601849623893246e-11,-0.0111081240406384
1.905671878651484e-11,0.7716893407632703,1.905671878651484e-11,-0.01679417178878891
2.402890901653234e-11,0.6006479021028727,2.402890901653234e-11,-0.0259386765425599
2.909816288203109e-11,0.4389726998385113,2.909816288203109e-11,-0.02961477120168965
3.556270360064327e-11,0.2551656385687256,3.556270360064327e-11,-0.00819558768790014
4.127572728117063e-11,0.1349298336833535,4.127572728117063e-11,0.04414997745119504
4.640960853927606e-11,0.07192036688472389,4.640960853927606e-11,0.1138421014241844
5.216048948054016e-11,0.03843139710951616,5.216048948054016e-11,0.2051840830758667
5.799627846913533e-11,0.02466189611360158,5.799627846913533e-11,0.3023257062814609
6.335822963110929e-11,0.01969700163012966,6.335822963110929e-11,0.3895339461951435
6.955073005221396e-11,0.01694195623757369,6.955073005221396e-11,0.4831671141510054
7.763250665657959e-11,0.01501627461008923,7.763250665657959e-11,0.5880733568866962
8.469490267820836e-11,0.01342524063427044,8.469490267820836e-11,0.6631527132816784
9.168563577287144e-11,0.01251149111872985,9.168563577287144e-11,0.7284447112085838
9.882790850272866e-11,0.01029548940273001,9.882790850272866e-11,0.7775165920491646
1.071889207380394e-10,0.007466779372448504,1.071889207380394e-10,0.8164632617126462
1.137586620929378e-10,0.006241455905968154,1.137586620929378e-10,0.8414628500033854
1.18857013553006e-10,0.00699956837745138,1.18857013553006e-10,0.8662394099945953
1.229728172880349e-10,0.008105195712850004,1.229728172880349e-10,0.8912228493974589
1.26918788284529e-10,0.008495859926043882,1.26918788284529e-10,0.9141051589227298
1.309518588716388e-10,0.008070474671381601,1.309518588716388e-10,0.9339751439975171
1.355559816931605e-10,0.007035730472293638,1.355559816931605e-10,0.9517128487276614
1.415782722023056e-10,0.005359449677508376,1.415782722023056e-10,0.9683824127737386
1.507775109633516e-10,0.003180163144290029,1.507775109633516e-10,0.983792191618319
1.618892221796042e-10,0.001485519479561426,1.618892221796042e-10,0.9929742048116555
1.747497233207331e-10,0.000581363757466662,1.747497233207331e-10,0.9973663197121092
1.902582720287472e-10,0.0001587624008426003,1.902582720287472e-10,0.9992645592978451
2.100740600054104e-10,3.657741640963466e-05,2.100740600054104e-10,0.9998555564410558
2.376636617191248e-10,-7.624491461490882e-06,2.376636617191248e-10,1.000019567345874
2.78405367134479e-10,7.938075686188847e-06,2.78405367134479e-10,0.9999824127083853
3.469618933384273e-10,-7.063041615929368e-06,3.469618933384273e-10,1.000016275780291
4.269618933384273e-10,7.865349572014544e-06,4.269618933384273e-10,0.9999830272008369
5e-10,-7.030687146766196e-06,5e-10,1.000016009965033
5.025000000000001e-10,-0.02804931763328225,5.025000000000001e-10,0.9965733449265408
5.051121754512156e-10,-0.06284430153246709,5.051121754512156e-10,0.992591369932985
5.068461694639237e-10,-0.08043994970632183,5.068461694639237e-10,0.9911314985164079
5.084230847319618e-10,-0.08088115497338225,5.084230847319618e-10,0.9921952975050413
5.1e-10,-0.06115815452782572,5.1e-10,0.9959117826449749
5.103782624543775e-10,-0.04689121279944151,5.103782624543775e-10,0.9980234022482063
5.1101473995341e-10,-0.02160246526954632,5.1101473995341e-10,1.00180723643312
5.117205797999153e-10,0.006808718128502464,5.117205797999153e-10,1.005929932962467
5.125242592031154e-10,0.03825939180543314,5.125242592031154e-10,1.010117155042407
5.132607367594833e-10,0.06694904968208802,5.132607367594833e-10,1.013690636029941
5.144774024910196e-10,0.1135109731269349,5.144774024910196e-10,1.01912423769271
5.162890769543792e-10,0.1814506877637198,5.162890769543792e-10,1.026434082079704
5.193021445651584e-10,0.2902351372031274,5.193021445651584e-10,1.037221854493861
5.250856552250841e-10,0.4809353600085776,5.250856552250841e-10,1.051661797201506
5.319901869464828e-10,0.6707009655710551,5.319901869464828e-10,1.04266502104119
5.382113998343695e-10,0.803089604866096,5.382113998343695e-10,0.9941929186068791
5.445699020472964e-10,0.8930253225965803,5.445699020472964e-10,0.9067412453161638
5.51995086807255e-10,0.9451553723679899,5.51995086807255e-10,0.7801622571184438
5.581255444428043e-10,0.9645659819799793,5.581255444428043e-10,0.6746124889813387
5.641761310415083e-10,0.9744562115263635,5.641761310415083e-10,0.5751919795145122
5.711186782005777e-10,0.9804680623266104,5.711186782005777e-10,0.4685516319556077
