0;1875
0.03922;1887
0.078442;1887
0.117645;1874
0.156607;1874
0.235047;1884
0.274268;1884
0.313486;1837
0.352707;1837
0.391928;1837
0.431147;1859
0.509586;1824
0.548808;1824
0.58803;1824
0.626974;1771
0.666196;1771
0.705415;1730
0.783857;1730
0.823076;1910
0.862297;1910
0.940737;2294
0.979959;2294
1.019179;2375
1.058401;2375
1.136566;2521
1.175788;2521
1.215008;2581
1.25423;2581
1.293449;2642
1.332671;2642
1.411113;2621
1.450335;2621
1.489554;2585
1.528776;2585
1.567998;2585
1.646164;2643
1.685383;2828
1.724605;2828
1.763827;2828
1.803047;2908
1.881488;3058
1.92071;3058
1.959932;3058
1.999152;3070
2.038374;3070
2.116539;3154
2.155761;3154
2.194981;3092
2.234203;3092
2.312648;3084
2.351874;3084
2.391098;3115
2.469547;3058
2.508776;3058
2.548005;3058
2.626185;3062
2.665411;3011
2.704633;3011
2.743855;3011
2.783075;3076
2.822297;3076
2.900738;3012
2.93996;3012
2.97918;3076
3.018402;3076
3.057605;3017
3.096567;3017
3.175009;3085
3.25345;3025
3.292672;3025
3.331894;3025
3.371114;3021
3.410336;3021
3.449555;3093
3.527999;3093
3.566943;3009
3.606165;3009
3.645384;3089
3.684606;3089
3.723828;3089
3.80227;3046
3.841489;3115
3.880714;3115
3.919939;3115
3.959162;3064
4.037594;3114
4.076559;3114
4.115784;3114
4.155007;3124
4.194232;3124
4.233454;3082
4.311898;3082
4.351118;3139
4.39034;3139
4.429559;3089
4.508009;3089
4.546956;3141
4.586181;3141
4.625403;3097
4.664625;3097
4.703847;3097
4.782289;3080
4.821508;3130
4.86073;3130
4.899952;3130
4.978394;3072
5.017597;3118
5.056558;3118
5.095779;3118
5.134998;3059
5.213437;3128
5.252663;3128
5.409562;3085
5.448784;3085
5.488006;3085
5.566172;3132
5.605391;3082
5.644617;3082
5.683843;3082
5.723067;3126
5.762293;3126
5.840742;3137
5.879968;3137
5.919192;3081
5.958418;3081
5.997625;3142
6.036587;3142
6.115029;3093
6.154251;3093
6.19347;3119
6.232691;3119
6.271912;3119
6.311132;3078
6.389571;3109
6.428793;3109
6.468015;3109
6.506959;3171
6.546181;3171
6.5854;3118
6.663844;3118
6.703063;3150
6.742284;3150
6.781503;3168
6.820725;3168
6.859947;3168
6.938389;3145
6.977592;3210
7.016558;3210
7.055783;3210
7.095006;3175
7.173453;3167
7.212674;3167
7.251895;3167
7.291114;3207
7.369553;3152
7.408775;3152
7.447997;3152
7.486941;3164
7.526163;3164
7.565382;3227
7.643826;3227
7.683046;3188
7.722268;3188
7.761487;3194
7.800708;3194
7.839929;3194
7.918369;3267
7.957571;3291
7.996533;3291
8.035755;3291
8.074975;3258
8.153414;3321
8.192636;3321
8.231858;3321
8.271077;3337
8.310299;3337
8.349518;3347
8.427962;3347
8.466906;3322
8.506128;3322
8.545347;3326
8.584568;3326
8.623789;3326
8.702229;3394
8.741447;3414
8.780669;3414
8.819891;3414
8.85911;3407
8.898332;3407
8.976497;3371
9.015718;3371
9.054937;3383
9.094158;3383
9.133376;3375
9.172598;3375
9.25104;3416
9.290261;3416
9.32948;3385
9.368706;3385
9.407932;3385
9.486106;3332
9.525329;3402
9.564554;3402
9.603779;3402
9.643002;3436
9.682227;3436
9.760671;3440
9.799893;3440
9.839113;3488
9.878335;3488
9.917538;3485
9.9565;3485
10.034942;3466
10.074164;3466
10.113383;3480
10.152608;3480
10.231058;3517
10.270284;3517
10.309506;3507
10.348731;3507
10.387956;3507
10.466128;3504
10.50535;3479
10.544572;3479
10.583794;3479
10.623014;3466
10.662236;3466
10.740681;3511
10.779907;3511
10.819131;3549
10.858357;3549
10.897564;3543
10.936526;3543
11.014968;3508
11.05419;3508
11.093409;3379
11.132631;3379
11.171853;3379
11.211072;3110
11.289513;2948
11.328739;2948
11.367965;2948
11.406913;2829
11.446139;2829
11.485362;2726
11.563805;2726
11.603024;2687
11.642245;2687
11.681464;2617
11.720686;2617
11.759908;2617
11.83835;2572
11.877553;2544
11.916519;2544
11.955745;2544
11.994969;2526
12.073418;2531
12.11264;2531
12.151862;2531
12.191082;2529
12.230304;2529
12.269523;2533
12.347967;2533
12.386911;2522
12.426133;2522
12.465352;2492
12.504578;2492
12.543804;2492
12.622254;2469
12.661477;2453
12.700699;2453
12.739921;2453
12.818363;2429
12.857566;2414
12.896532;2414
12.935758;2414
12.974982;2388
13.053431;2363
13.092652;2363
13.131873;2363
13.171092;2320
13.210313;2320
13.249531;2293
13.327981;2293
13.366928;2293
13.406153;2293
13.484601;2268
13.523827;2268
13.563051;2251
13.602277;2251
13.680721;2235
13.719942;2235
14.308009;2170
14.386175;2153
14.425394;2142
14.464619;2142
14.503844;2142
14.582292;2155
14.621514;2118
14.660736;2118
14.739178;2085
14.778399;2085
14.817602;2090
14.856564;2090
14.895786;2090
14.935006;2095
15.013447;2105
15.052672;2105
15.091897;2105
15.13112;2076
15.209567;2045
15.248789;2045
15.288011;2045
15.326955;2066
15.366177;2066
15.405396;2116
15.48384;2116
15.52306;2109
15.562282;2109
15.601501;2165
15.640723;2165
15.679945;2165
15.758387;2163
15.79759;2217
15.836552;2217
15.875774;2217
